"Question","SQL"
"What is the total sales for each product for orders with a `Status` of 'Cancelled' in 2024?","SELECT Product, SUM(TotalSales) AS TotalCancelledSales FROM ProductSales WHERE Status = 'Cancelled' AND YEAR(Date) = 2024 GROUP BY Product ORDER BY TotalCancelledSales DESC;"
"Which category of orders has the highest total sales when the payment method is 'Amazon Pay'?","SELECT Category, SUM(TotalSales) AS TotalSales FROM ProductSales WHERE PaymentMethod = 'Amazon Pay' GROUP BY Category ORDER BY TotalSales DESC LIMIT 1;"
"Show the total sales for customers whose names start with 'A' in 2023.","SELECT CustomerName, SUM(TotalSales) AS TotalSales FROM ProductSales WHERE CustomerName LIKE 'A%' AND YEAR(Date) = 2023 GROUP BY CustomerName ORDER BY TotalSales DESC;"
"What is the average `BaseCost` of products in the 'Electronics' category?","SELECT AVG(BaseCost) FROM ProductSales WHERE Category = 'Electronics';"
"Find the total sales for 'Running shoes' and 'Jeans' combined in Q1 2024.","SELECT SUM(TotalSales) FROM ProductSales WHERE Product IN ('Running shoes', 'Jeans') AND QUARTER(Date) = 1 AND YEAR(Date) = 2024;"
"Show the number of unique products purchased by ""Maria"" in each year.","SELECT YEAR(Date) AS SalesYear, COUNT(DISTINCT Product) AS UniqueProducts FROM ProductSales WHERE CustomerName = 'Maria' GROUP BY SalesYear ORDER BY SalesYear;"
"Which customer location has the most transactions (OrderID count)?","SELECT CustomerLocation, COUNT(OrderID) AS TransactionCount FROM ProductSales GROUP BY CustomerLocation ORDER BY TransactionCount DESC LIMIT 1;"
"What is the total sales for orders where `Quantity` is greater than 5?","SELECT SUM(TotalSales) FROM ProductSales WHERE Quantity > 5;"
"Show the profit generated from each product that has 'Pending' orders.","SELECT P.Product, SUM(P.TotalSales - (P.BaseCost * P.Quantity)) AS ProductProfit FROM ProductSales AS P WHERE P.Product IN (SELECT DISTINCT Product FROM ProductSales WHERE Status = 'Pending') GROUP BY P.Product ORDER BY ProductProfit DESC;"
"Compare total sales between Q1 2023 and Q1 2024.","SELECT 'Q1 2023' AS Period, SUM(TotalSales) AS Sales FROM ProductSales WHERE QUARTER(Date) = 1 AND YEAR(Date) = 2023 UNION ALL SELECT 'Q1 2024' AS Period, SUM(TotalSales) AS Sales FROM ProductSales WHERE QUARTER(Date) = 1 AND YEAR(Date) = 2024;"
"Which customer has the lowest average total sales per transaction?","SELECT CustomerName, AVG(TotalSales) AS AverageSalesPerTransaction FROM ProductSales GROUP BY CustomerName ORDER BY AverageSalesPerTransaction ASC LIMIT 1;"
"Show the total sales for each category, but only for products with a `SellingPrice` greater than 500.","SELECT Category, SUM(TotalSales) AS TotalSales FROM ProductSales WHERE SellingPrice > 500 GROUP BY Category ORDER BY TotalSales DESC;"
"What is the total profit from sales where the `PaymentMethod` was 'Debit Card' and the `Status` was 'Completed'?","SELECT SUM(TotalSales - (BaseCost * Quantity)) AS TotalProfit FROM ProductSales WHERE PaymentMethod = 'Debit Card' AND Status = 'Completed';"
"List all orders that have `TotalSales` greater than 1000 and were placed in Q3 of any year.","SELECT * FROM ProductSales WHERE TotalSales > 1000 AND QUARTER(Date) = 3;"
"Show the count of each `Status` for orders placed by customers in 'New York'.","SELECT Status, COUNT(OrderID) AS OrderCount FROM ProductSales WHERE CustomerLocation = 'New York' GROUP BY Status ORDER BY OrderCount DESC;"
"Which product had the most sales (total sales) in the first half of 2025?","SELECT Product, SUM(TotalSales) AS TotalProductSales FROM ProductSales WHERE Date BETWEEN '2025-01-01' AND '2025-06-30' GROUP BY Product ORDER BY TotalProductSales DESC LIMIT 1;"
"What is the total profit from each customer who bought a 'Laptop' in 2024?","SELECT CustomerName, SUM(TotalSales - (BaseCost * Quantity)) AS CustomerProfit FROM ProductSales WHERE Product = 'Laptop' AND YEAR(Date) = 2024 GROUP BY CustomerName ORDER BY CustomerProfit DESC;"
"Show the number of orders for each year, broken down by `PaymentMethod`.","SELECT YEAR(Date) AS SalesYear, PaymentMethod, COUNT(OrderID) AS OrderCount FROM ProductSales GROUP BY SalesYear, PaymentMethod ORDER BY SalesYear, OrderCount DESC;"
"Which customer has purchased the highest total quantity of 'Running shoes' in the last 7 years?","SELECT CustomerName, SUM(Quantity) AS TotalQuantity FROM ProductSales WHERE Product = 'Running shoes' AND Date >= DATE_SUB(CURRENT_DATE(), INTERVAL 7 YEAR) GROUP BY CustomerName ORDER BY TotalQuantity DESC LIMIT 1;"
"What is the total sales for the product with the highest average `SellingPrice` in 2023?","SELECT SUM(T1.TotalSales) FROM ProductSales AS T1 JOIN (SELECT Product, AVG(SellingPrice) AS AverageSellingPrice FROM ProductSales WHERE YEAR(Date) = 2023 GROUP BY Product ORDER BY AverageSellingPrice DESC LIMIT 1) AS T2 ON T1.Product = T2.Product WHERE YEAR(T1.Date) = 2023;"
"Show the average `TotalSales` for orders with a quantity of 1 for each category.","SELECT Category, AVG(TotalSales) AS AverageSalesForSingleQuantity FROM ProductSales WHERE Quantity = 1 GROUP BY Category ORDER BY AverageSalesForSingleQuantity DESC;"
"Which category has the highest total sales when the `Status` is 'Pending'?","SELECT Category, SUM(TotalSales) AS TotalPendingSales FROM ProductSales WHERE Status = 'Pending' GROUP BY Category ORDER BY TotalPendingSales DESC LIMIT 1;"
"List all orders that occurred on a specific date '2025-06-27' and were paid by 'Debit Card'.","SELECT * FROM ProductSales WHERE Date = '2025-06-27' AND PaymentMethod = 'Debit Card';"
"Find the customer who has the most completed orders and lives in ""Bengaluru"".","SELECT CustomerName, COUNT(OrderID) AS CompletedOrders FROM ProductSales WHERE Status = 'Completed' AND CustomerLocation = 'Bengaluru' GROUP BY CustomerName ORDER BY CompletedOrders DESC LIMIT 1;"
"Show the total sales for 'Headphones' in Q4 2020 by customer location.","SELECT CustomerLocation, SUM(TotalSales) AS TotalHeadphonesSales FROM ProductSales WHERE Product = 'Headphones' AND QUARTER(Date) = 4 AND YEAR(Date) = 2020 GROUP BY CustomerLocation ORDER BY TotalHeadphonesSales DESC;"
"What is the total quantity of 'Electronics' products sold in 2025 by month?","SELECT MONTH(Date) AS SalesMonth, SUM(Quantity) AS TotalQuantity FROM ProductSales WHERE Category = 'Electronics' AND YEAR(Date) = 2025 GROUP BY SalesMonth ORDER BY SalesMonth;"
"Which product category is most successful in terms of total sales across all years?","SELECT Category, SUM(TotalSales) AS TotalCategorySales FROM ProductSales GROUP BY Category ORDER BY TotalCategorySales DESC LIMIT 1;"
"Show the average `SellingPrice` for products in the 'Clothing' category for each month of 2024.","SELECT MONTH(Date) AS SalesMonth, AVG(SellingPrice) AS AverageSellingPrice FROM ProductSales WHERE Category = 'Clothing' AND YEAR(Date) = 2024 GROUP BY SalesMonth ORDER BY SalesMonth;"
"What is the total sales from 'Completed' orders where the `Quantity` is exactly 2?","SELECT SUM(TotalSales) FROM ProductSales WHERE Status = 'Completed' AND Quantity = 2;"
"List all customer locations and the total number of unique products purchased by customers in each location.","SELECT CustomerLocation, COUNT(DISTINCT Product) AS UniqueProductsCount FROM ProductSales GROUP BY CustomerLocation ORDER BY UniqueProductsCount DESC;"
"Show the profit of each customer for purchases made in 2023 for 'Home Appliances'.","SELECT CustomerName, SUM(TotalSales - (BaseCost * Quantity)) AS CustomerProfit FROM ProductSales WHERE Category = 'Home Appliances' AND YEAR(Date) = 2023 GROUP BY CustomerName ORDER BY CustomerProfit DESC;"
"Which payment method has the highest total profit?","SELECT PaymentMethod, SUM(TotalSales - (BaseCost * Quantity)) AS TotalProfit FROM ProductSales GROUP BY PaymentMethod ORDER BY TotalProfit DESC LIMIT 1;"
"What is the average `TotalSales` for 'Running shoes' orders in Q2 2022 where the status is 'Completed'?","SELECT AVG(TotalSales) FROM ProductSales WHERE Product = 'Running shoes' AND QUARTER(Date) = 2 AND YEAR(Date) = 2022 AND Status = 'Completed';"
"Show the percentage of total sales each category contributed in 2024.","SELECT Category, (SUM(TotalSales) * 100.0 / (SELECT SUM(TotalSales) FROM ProductSales WHERE YEAR(Date) = 2024)) AS PercentageOfTotalSales FROM ProductSales WHERE YEAR(Date) = 2024 GROUP BY Category ORDER BY PercentageOfTotalSales DESC;"
"Which customer has the highest number of pending orders and lives in ""Bengaluru""?","SELECT CustomerName, COUNT(OrderID) AS PendingOrders FROM ProductSales WHERE Status = 'Pending' AND CustomerLocation = 'Bengaluru' GROUP BY CustomerName ORDER BY PendingOrders DESC LIMIT 1;"
"What is the total profit from sales of products in the 'Footwear' category made in May 2025?","SELECT SUM(TotalSales - (BaseCost * Quantity)) AS FootwearProfit FROM ProductSales WHERE Category = 'Footwear' AND YEAR(Date) = 2025 AND MONTH(Date) = 5;"
"Show the number of products sold that have 'book' in their name (case-insensitive).","SELECT COUNT(DISTINCT Product) FROM ProductSales WHERE LOWER(Product) LIKE '%book%';"
"Which customer location had the highest total sales for 'Smartwatch' in 2023?","SELECT CustomerLocation, SUM(TotalSales) AS TotalSmartwatchSales FROM ProductSales WHERE Product = 'Smartwatch' AND YEAR(Date) = 2023 GROUP BY CustomerLocation ORDER BY TotalSmartwatchSales DESC LIMIT 1;"
"What is the average profit margin of products for customers in ""Delhi"" for the year 2024?","SELECT AVG((SellingPrice - BaseCost) / SellingPrice) AS AverageProfitMargin FROM ProductSales WHERE CustomerLocation = 'Delhi' AND YEAR(Date) = 2024;"
"Show the total sales for each product that has both 'Completed' and 'Cancelled' orders associated with it.","SELECT Product, SUM(TotalSales) AS TotalSales FROM ProductSales WHERE Product IN (SELECT Product FROM ProductSales WHERE Status = 'Completed' INTERSECT SELECT Product FROM ProductSales WHERE Status = 'Cancelled') GROUP BY Product ORDER BY TotalSales DESC;"
"Which customer has the highest profit from 'Electronics' products bought using 'PayPal'?","SELECT CustomerName, SUM(TotalSales - (BaseCost * Quantity)) AS CustomerProfit FROM ProductSales WHERE Category = 'Electronics' AND PaymentMethod = 'PayPal' GROUP BY CustomerName ORDER BY CustomerProfit DESC LIMIT 1;"
"What is the total sales for 'Jeans' sold in the current quarter that are still 'Pending'?","SELECT SUM(TotalSales) FROM ProductSales WHERE Product = 'Jeans' AND Status = 'Pending' AND Date >= DATE_SUB(CURRENT_DATE(), INTERVAL 3 MONTH);"
"Show the average `SellingPrice` of all products across different payment methods.","SELECT PaymentMethod, AVG(SellingPrice) AS AverageSellingPrice FROM ProductSales GROUP BY PaymentMethod ORDER BY AverageSellingPrice DESC;"
"Which customer made purchases in both 2020 and 2024?","SELECT DISTINCT CustomerName FROM ProductSales WHERE YEAR(Date) = 2020 INTERSECT SELECT DISTINCT CustomerName FROM ProductSales WHERE YEAR(Date) = 2024;"
"What is the total quantity of products sold in 'Home Appliances' category with a `BaseCost` greater than 500?","SELECT SUM(Quantity) FROM ProductSales WHERE Category = 'Home Appliances' AND BaseCost > 500;"
"Show the category with the highest average order value.","SELECT Category, AVG(TotalSales) AS AverageOrderValue FROM ProductSales GROUP BY Category ORDER BY AverageOrderValue DESC LIMIT 1;"
"What is the total sales for 'Washing Machine' and 'Refrigerator' combined in the last 7 years?","SELECT SUM(TotalSales) FROM ProductSales WHERE Product IN ('Washing Machine', 'Refrigerator') AND Date >= DATE_SUB(CURRENT_DATE(), INTERVAL 7 YEAR);"
"Show the number of unique products sold for each customer location.","SELECT CustomerLocation, COUNT(DISTINCT Product) AS UniqueProductsSold FROM ProductSales GROUP BY CustomerLocation ORDER BY UniqueProductsSold DESC;"
"What is the average `TotalSales` for 'Completed' orders placed on a Monday?","SELECT AVG(TotalSales) FROM ProductSales WHERE Status = 'Completed' AND DAYOFWEEK(Date) = 2;"
"List all customers who have never cancelled an order.","SELECT DISTINCT CustomerName FROM ProductSales WHERE CustomerName NOT IN (SELECT DISTINCT CustomerName FROM ProductSales WHERE Status = 'Cancelled');"
"Show the total sales for each month in 2023 where the total sales exceeded 10000.","SELECT MONTH(Date) AS SalesMonth, SUM(TotalSales) AS MonthlySales FROM ProductSales WHERE YEAR(Date) = 2023 GROUP BY SalesMonth HAVING SUM(TotalSales) > 10000 ORDER BY SalesMonth;"
"Which product category has the highest average quantity sold per order in 2024?","SELECT Category, AVG(Quantity) AS AverageQuantityPerOrder FROM ProductSales WHERE YEAR(Date) = 2024 GROUP BY Category ORDER BY AverageQuantityPerOrder DESC LIMIT 1;"
"What is the total profit from sales where the `CustomerLocation` is 'Mumbai' and the `Product` is 'Smartphone'?","SELECT SUM(TotalSales - (BaseCost * Quantity)) AS Profit FROM ProductSales WHERE CustomerLocation = 'Mumbai' AND Product = 'Smartphone';"
"Show the count of orders for each payment method for orders with `TotalSales` greater than 5000.","SELECT PaymentMethod, COUNT(OrderID) AS OrderCount FROM ProductSales WHERE TotalSales > 5000 GROUP BY PaymentMethod ORDER BY OrderCount DESC;"
"Which customer has the highest profit from 'Clothing' products purchased in Q1 2025?","SELECT CustomerName, SUM(TotalSales - (BaseCost * Quantity)) AS CustomerProfit FROM ProductSales WHERE Category = 'Clothing' AND QUARTER(Date) = 1 AND YEAR(Date) = 2025 GROUP BY CustomerName ORDER BY CustomerProfit DESC LIMIT 1;"
